Body ID,articleBody
1,Climate has changed before
2,Global warming happens because of the sun
3,Climate change is not bad
4,There is no consensus
5,The earth is cooling
6,Climate change models are unreliable
7,Temperature record is unreliable
8,Animals and plants can adapt to the increasing temperature
9,It hasn't warmed since 1998
10,Antarctica is gaining ice
11,Ice age was predicted in the 70s
12,CO2 lags temperature
13,Climate sensitivity is low
14,We're heading into an ice age
15,Ocean acidification isnâ€™t a serious issue
16,Hockey stick is broken
17,Climategate CRU emails suggest conspiracy
18,Hurricanes aren't linked to global warming
19,Al Gore was wrong about climate change
20,Glaciers are growing
21,Global warming happens because of cosmic rays
22,1934 was the hottest year on record
23,It's freaking cold! Why do they keep saying the planet is warming?
24,Extreme weather isn't caused by global warming
25,Sea level rise is exaggerated
26,Global warming happens because of the Urban Heat Island effect
27,Medieval Warm Period was warmer
28,Mars is warming
29,Arctic icemelt is a natural cycle and has nothing to do with global warming
30,Increasing CO2 has little to no effect
31,Oceans are cooling
32,Climate scientists are in it for the money
33,Climate change is a 1500 year cycle
34,Human CO2 is a tiny % of CO2 emissions
35,IPCC is alarmist
36,Water vapor is the most powerful greenhouse gas
37,Polar bear numbers are increasing
38,CO2 limits will harm the economy
39,Global warming is not happening
40,Climate change is not happening
41,Greenland was green
42,Greenland is gaining ice
43,CO2 is not a pollutant
44,CO2 is plant food
45,There's no empirical evidence that supports climate change
46,Other planets are warming
47,Arctic sea ice has recovered
48,There's no correlation between CO2 and temperature
49,We're coming out of the Little Ice Age
50,The temperature cooled mid-century
51,Global warming stopped in 1998
52,Global warming stopped in 1995
53,Global warming stopped in 2002
54,Global warming stopped in 2007
55,Global warming stopped in 2010
56,CO2 percentage in the atmosphere was higher in the past
57,Global warming happened before 1940 when CO2 was low
58,Satellites show no warming in the atmosphere
59,Global warming happens due to aerosis
60,2009-2010 winter saw record low temperatures
61,Global warming or climate change is a natural cycle
62,Itâ€™s El Nino
63,Mount Kilimanjaroâ€™s ice loss is due to land use
64,Human beings are not causing global warming
65,Second law of thermodynamics contradicts greenhouse theory
66,Scientists canâ€™t even predict weather
67,IPCC was wrong about Himalayan glaciers
68,Greenhouse effect has been falsified
69,CO2 limits will hurt the poor
70,Clouds provide negative feedback
71,Not all scientists are sure about global warming
72,Global warming or climate change happens because of the oceans
73,IPCC was wrong about the Amazon rainforests
74,CO2 effect in the atmosphere is saturated
75,Greenland ice sheet wonâ€™t collapse
76,The atmosphere contains a very small percentage of CO2
77,Global warming or climate change happens due to methane
78,CO2 has a short residence time in the atmosphere
79,CO2 percentage measurements may not be correct
80,Humidity is falling
81,Neptune is warming
82,Jupiter is warming
83,Springs are not advancing
84,Global warming or climate change happens due to land use
85,Scientists tried to hide the decline in global temperature
86,CO2 is not increasing
87,Record snowfall disproves global warming
88,Wildfires are not caused by global warming
89,They changed the name from 'global warming' to 'climate change
90,Solar Cycle Length proves climate change happens because of the sun
91,CO2 is coming from the ocean
92,IPCC overestimates temperature rise
93,Pluto is warming
94,CO2 is not the only driver of climate
95,Peer review process was corrupted
96,CO2 limits will make little difference to the percentage of CO2 in the atmosphere
97,The Arctic was warmer in 1940
98,Renewable energy is too expensive
99,Southern sea ice is increasing
100,Sea level rise is decelerating
101,Humans are too insignificant to affect global climate
102,Climate change occurs due to microsite influences
103,Lindzen and Choi find low climate sensitivity
104,Phil Jones says no global warming since 1995
105,Infrared Iris will reduce global warming
106,Dropped stations introduce warming bias
107,Reducing global warming is too hard
108,Reducing global warming is not urgent
109,Global warming happens because of albedo
110,Tree-rings diverged from temperature after 1960
111,Global warming happens because of soot
112,Hansen's 1988 prediction about climate change was wrong
113,Itâ€™s not global warming. Itâ€™s global brightening
114,Earth hasn't warmed as much as expected
115,Arctic sea ice loss is matched by Antarctic sea ice gain
116,It's a climate regime shift
117,Solar cycles cause global warming
118,"Over 31,000 scientists signed the OISM Petition Project"
119,Roy Spencer found that climate change is not happening
120,Less than half of published scientists endorse global warming
121,A drop in volcanic activity caused warming
122,Plant stomata show higher and more variable CO2 levels
123,Ice isn't melting
124,Sea level is not rising
125,IPCC deleted all data on the Medieval Warm Period
126,Global warming happens because of ozone
127,Climate is chaotic and cannot be predicted
128,Freedom of Information (FOI) requests were ignored
129,Climate 'Skeptics' are like Galileo
130,The IPCC consensus is false
131,Tuvalu sea level isn't rising
132,Naomi Oreskes' study on consensus was flawed
133,Renewables can't provide baseload power
134,Trenberth can't account for the lack of warming
135,Ice Sheet losses are overestimated
136,CRU tampered with temperature data
137,Melting ice isn't warming the Arctic
138,Breathing contributes to CO2 buildup
139,Satellite error inflated Great Lakes temperatures
140,Soares finds lack of correlation between CO2 and temperature
141,We're heading into cooling
142,The earthâ€™s temperature is decreasing
143,Murry Salby finds CO2 rise is natural
144,The sun is getting hotter
145,"Most of the last 10,000 years were warmer"
146,97% consensus on human-caused global warming has been disproven
147,CO2 emissions do not correlate with CO2 concentration
148,Global warming happens because of waste heat
149,Water vapor in the stratosphere stopped global warming
150,It warmed just as fast in 1860-1880
151,It warmed just as fast in 1910-1940
152,An exponential increase in CO2 will result in a linear increase in temperature
153,Record high snow cover was set in winter 2008
154,Record high snow cover was set in winter 2009
155,A grand solar minimum could trigger another ice age
156,Climate change solutions are too expensive
157,Mauna Loa is a volcano
158,CERN CLOUD experiment proved cosmic rays are causing global warming
159,Venus doesn't have a runaway greenhouse effect
160,Climate change happens due to planetary movements
161,Climate change deniers are part of the 97%
162,Water levels correlate with sunspots
163,Antarctica is too cold to lose ice
164,Positive feedback means runaway warming
165,Scientists who were skeptical about global warming were kept out of the IPCC
166,CO2 was higher in the late Ordovician
167,Global warming causes CO2 rise
168,Global warming happens due to internal variability
169,"CO2 increase is natural, not human-caused"
170,The earthâ€™s temperature has not increased in the last 16 years
171,Climate change happens due to CFC gases
172,Scientists retracted claim that sea levels are rising
173,Renewable energy investment increases unemployment
174,CO2 limits won't cool the planet
175,Schmittner finds low climate sensitivity
176,Greenland has only lost a tiny fraction of its ice mass
177,DMI show cooling Arctic
178,Ben Santer rewrote the 1995 IPCC report
179,It's a climate shift step function caused by natural cycles
180,Royal Society embraces skepticism
181,The temperature only increased by a few degrees
182,Climate change happens due to satellite microwave transmissions
183,CO2 only causes 35% of global warming
184,IPCC graph showing accelerating trends is misleading
185,Sea level fell in 2010
186,Arctic sea ice extent was lower in the past
187,Climate change isn't increasing extreme weather damage costs
188,UAH atmospheric temperatures prove climate models and/or surface temperature data sets are wrong
189,IPCC human-caused global warming attribution confidence is unfounded
190,We didn't have global warming during the Industrial Revolution
191,Ljungqvist broke the hockey stick
192,Removing all CO2 would make little difference
193,Great Barrier Reef is in good shape
194,Loehle and Scafetta find a 60 year cycle causing global warming
195,Postma disproved the greenhouse effect
196,Underground temperatures control climate
197,Humans survived past climate changes
198,Heatwaves have happened before